0	"پیتزاش بی‌نظیر بود و همگی ازش لذت بردیم."
0	"خدمات مشتری خیلی عالی و سریع بود."
1	"کف‌ها خیلی کثیف و نامرتب بودند."
1	"قیمت‌ها واقعا خیلی بالا بودند و ارزشش رو نداشت."
0	"چاشنی‌ها و ادویه‌ها عالی بودن و طعم رو دوچندان کردند."
1	"پارکینگش خیلی شلوغ و افتضاح بود."
0	"دستشویی‌ها همیشه تمیز و مرتب بودن."
1	"مدیریت هیچ کمکی نمی‌کرد و به نظرات مشتریان توجهی نداشت."
0	"نورپردازی و جو رستوران رمانتیک و دلنشین بود."
1	"خمیر پیتزا کاملاً سوخته و غیرقابل خوردن بود."
0	"پیناپل‌ها بسیار تازه و خوشمزه بودن."
1	"نبود سیر تو غذا واقعا ناراحت‌کننده بود."
0	"تجربه خوبی داشتم و حتماً برمی‌گردم."
0	"پرسنل خیلی دوستانه و خوش‌برخورد بودن."
1	"خدمات مشتری خیلی بد و کند بود."
1	"گارسون‌ها هیچ وقت برای گرفتن سفارش‌ها برنمی‌گشتن."
1	"نمی‌تونستم باور کنم که دستمال کاغذی ۱۰ تومنه!"
0	"پیتزای بزرگ قیمت مناسبی داره و خیلی سیر کننده است."
0	"پیشنهاد ۵ تومانی برای غذا واقعاً عالی و به‌صرفه است."
1	"قیمت‌ها به هیچ وجه با کیفیت غذا همخوانی نداشت."
0	"بیسکویت‌ها و دسرها هم خیلی خوشمزه و دلچسب بودن."
0	"غذا به قدری سریع آماده شد که تعجب کردم."
1	"پرسنل خیلی بی‌ادب و بدرفتار بودن."
1	"تجربه‌ام در کل خیلی بد و ناامیدکننده بود."
0	"به نظرم بهترین پیتزای شهر همین‌جاست."
0	"غذا به قدری خوب بود که به همه توصیه می‌کنم."
1	"کیفیت غذا با قیمتش اصلاً همخوانی نداشت."
1	"محیط رستوران خیلی شلوغ و آزاردهنده بود."
0	"برگرها هم باید حتما امتحان بشن؛ واقعاً خوشمزه‌اند."
0	"سرویس‌دهی بسیار سریع و مؤثر بود."
1	"انتظاراتم رو از این رستوران برآورده نکردن."
0	"این رستوران همیشه انتخاب اول منه و ازش راضی‌ام."
1	"غذامون خیلی سرد و نامطبوع بود."
0	"این بار هم تجربه خوبی داشتم و خیلی لذت بردم."
1	"برای این قیمت واقعاً انتظار بیشتری داشتم."
0	"منوی متنوعی دارن و هر بار چیزهای جدیدی اضافه می‌کنند."
1	"چرا همیشه دیره که غذا بیاد؟ این خیلی ناراحت‌کننده است."
0	"کیک‌هایش هم بسیار خوشمزه و خوش‌طعم‌اند."
1	"سرویس گارسون‌ها خیلی ضعیف و ناکارآمد بود."
0	"به نظرم اینجا بهترین انتخاب برای یک شام رمانتیک است."
1	"فردی که پشت پیشخوان بود اصلاً خوش‌برخورد نبود و رفتار خوبی نداشت."
0	"تجربه‌ام همیشه مثبت و رضایت‌بخش بوده."
1	"باید نظارت بیشتری روی تمیزی و نظافت داشته باشن."
0	"غذاهای سنتی‌شون هم امتحان کنید، واقعاً لذیذند!"
0	"پیتزای مخصوصشون واقعاً طعم فوق‌العاده‌ای داره."
1	"چرا هیچ‌کس توجه نمی‌کنه؟ احساس می‌کنم فراموش شدم."
0	"دست‌پخت سرآشپز واقعاً بی‌نظیره."
0	"ماهی و غذاهای دریایی‌شون هم خیلی خوشمزه‌اند."
1	"آب‌جو خیلی داغ و بی‌کیفیت بود."
0	"به خاطر تنوع غذایی همیشه می‌تونم چیزی جدید امتحان کنم."
1	"هیچ‌کس توجه نمی‌کنه که چه مدت منتظرم."
0	"پیشنهاد ویژه‌شون همیشه خوشمزه و جالب است."
1	"کیفیت غذا در اینجا به شدت افت کرده."
